"","gateway.serial","gateway.name","sensor.serial","sensor.name","data.source.id","data.source.type","date","value","data.type","sensor","times"
"105","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:23:55+0100",21.4,"temp","D",2015-11-10 06:23:55
"106","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:24:54+0100",21.4,"temp","D",2015-11-10 06:24:54
"107","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:25:54+0100",21.4,"temp","D",2015-11-10 06:25:54
"108","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:26:54+0100",21.4,"temp","D",2015-11-10 06:26:54
"109","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:27:53+0100",21.4,"temp","D",2015-11-10 06:27:53
"110","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:28:53+0100",21.4,"temp","D",2015-11-10 06:28:53
"111","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:29:53+0100",21.4,"temp","D",2015-11-10 06:29:53
"112","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:30:52+0100",21.4,"temp","D",2015-11-10 06:30:52
"113","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:31:52+0100",21.4,"temp","D",2015-11-10 06:31:52
"114","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:32:52+0100",21.4,"temp","D",2015-11-10 06:32:52
"115","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:33:51+0100",21.4,"temp","D",2015-11-10 06:33:51
"116","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:34:51+0100",21.4,"temp","D",2015-11-10 06:34:51
"117","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:35:51+0100",21.4,"temp","D",2015-11-10 06:35:51
"118","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:36:51+0100",21.4,"temp","D",2015-11-10 06:36:51
"119","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:37:50+0100",21.4,"temp","D",2015-11-10 06:37:50
"120","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:38:50+0100",21.4,"temp","D",2015-11-10 06:38:50
"121","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:39:50+0100",21.4,"temp","D",2015-11-10 06:39:50
"122","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:40:50+0100",21.4,"temp","D",2015-11-10 06:40:50
"123","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:41:49+0100",21.4,"temp","D",2015-11-10 06:41:49
"124","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:42:49+0100",21.4,"temp","D",2015-11-10 06:42:49
"125","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:43:48+0100",21.4,"temp","D",2015-11-10 06:43:48
"126","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:44:48+0100",21.4,"temp","D",2015-11-10 06:44:48
"127","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:45:48+0100",21.4,"temp","D",2015-11-10 06:45:48
"128","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:46:48+0100",21.4,"temp","D",2015-11-10 06:46:48
"129","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:47:48+0100",21.5,"temp","D",2015-11-10 06:47:48
"130","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:48:47+0100",21.4,"temp","D",2015-11-10 06:48:47
"131","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:49:47+0100",21.4,"temp","D",2015-11-10 06:49:47
"132","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:50:46+0100",21.5,"temp","D",2015-11-10 06:50:46
"133","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:51:45+0100",21.4,"temp","D",2015-11-10 06:51:45
"134","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:52:46+0100",21.4,"temp","D",2015-11-10 06:52:46
"135","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:53:46+0100",21.4,"temp","D",2015-11-10 06:53:46
"136","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:54:45+0100",21.3,"temp","D",2015-11-10 06:54:45
"137","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:55:45+0100",21.4,"temp","D",2015-11-10 06:55:45
"138","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:56:45+0100",21.4,"temp","D",2015-11-10 06:56:45
"139","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:57:44+0100",21.4,"temp","D",2015-11-10 06:57:44
"140","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:58:44+0100",21.4,"temp","D",2015-11-10 06:58:44
"141","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:59:44+0100",21.4,"temp","D",2015-11-10 06:59:44
"142","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:00:43+0100",21.4,"temp","D",2015-11-10 07:00:43
"143","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:01:43+0100",21.5,"temp","D",2015-11-10 07:01:43
"144","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:02:43+0100",21.4,"temp","D",2015-11-10 07:02:43
"145","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:03:43+0100",21.4,"temp","D",2015-11-10 07:03:43
"146","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:04:42+0100",21.5,"temp","D",2015-11-10 07:04:42
"147","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:05:42+0100",21.4,"temp","D",2015-11-10 07:05:42
"148","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:06:42+0100",21.4,"temp","D",2015-11-10 07:06:42
"149","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:07:42+0100",21.4,"temp","D",2015-11-10 07:07:42
"150","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:08:40+0100",21.4,"temp","D",2015-11-10 07:08:40
"151","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:09:41+0100",21.4,"temp","D",2015-11-10 07:09:41
"152","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:10:41+0100",21.4,"temp","D",2015-11-10 07:10:41
"153","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:11:40+0100",21.4,"temp","D",2015-11-10 07:11:40
"154","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:12:40+0100",21.4,"temp","D",2015-11-10 07:12:40
"155","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:13:39+0100",21.5,"temp","D",2015-11-10 07:13:39
"156","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:14:40+0100",21.4,"temp","D",2015-11-10 07:14:40
"157","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:15:39+0100",21.3,"temp","D",2015-11-10 07:15:39
"158","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:16:39+0100",21.4,"temp","D",2015-11-10 07:16:39
"159","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:17:38+0100",21.4,"temp","D",2015-11-10 07:17:38
"160","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:18:38+0100",21.4,"temp","D",2015-11-10 07:18:38
"161","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:19:38+0100",21.4,"temp","D",2015-11-10 07:19:38
"162","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:20:37+0100",21.4,"temp","D",2015-11-10 07:20:37
"163","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:21:37+0100",21.4,"temp","D",2015-11-10 07:21:37
"164","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:22:37+0100",21.4,"temp","D",2015-11-10 07:22:37
"165","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:23:37+0100",21.4,"temp","D",2015-11-10 07:23:37
"166","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:24:36+0100",21.4,"temp","D",2015-11-10 07:24:36
"167","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:25:36+0100",21.4,"temp","D",2015-11-10 07:25:36
"168","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:26:36+0100",21.4,"temp","D",2015-11-10 07:26:36
"169","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:27:36+0100",21.5,"temp","D",2015-11-10 07:27:36
"170","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:28:35+0100",21.4,"temp","D",2015-11-10 07:28:35
"171","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:29:34+0100",21.4,"temp","D",2015-11-10 07:29:34
"172","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:30:35+0100",21.4,"temp","D",2015-11-10 07:30:35
"173","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:31:34+0100",21.4,"temp","D",2015-11-10 07:31:34
"174","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:32:34+0100",21.4,"temp","D",2015-11-10 07:32:34
"175","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:33:33+0100",21.4,"temp","D",2015-11-10 07:33:33
"176","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:34:34+0100",21.4,"temp","D",2015-11-10 07:34:34
"177","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:35:33+0100",21.4,"temp","D",2015-11-10 07:35:33
"178","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:36:32+0100",21.4,"temp","D",2015-11-10 07:36:32
"179","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:37:33+0100",21.4,"temp","D",2015-11-10 07:37:33
"180","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:38:32+0100",21.4,"temp","D",2015-11-10 07:38:32
"181","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:39:32+0100",21.4,"temp","D",2015-11-10 07:39:32
"182","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:40:32+0100",21.4,"temp","D",2015-11-10 07:40:32
"183","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:41:31+0100",21.4,"temp","D",2015-11-10 07:41:31
"184","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:42:30+0100",21.4,"temp","D",2015-11-10 07:42:30
"185","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:43:30+0100",21.4,"temp","D",2015-11-10 07:43:30
"186","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:44:30+0100",21.4,"temp","D",2015-11-10 07:44:30
"187","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:45:30+0100",21.4,"temp","D",2015-11-10 07:45:30
"188","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T08:46:30+0100",21.4,"temp","D",2015-11-10 07:46:30
